Id,OverallQual,YearBuilt,TotalBsmtSF,Electrical,GrLivArea,FullBath,GarageType,GarageCars,GarageArea,Fence,MiscFeature,SalePrice
358,5,1996,870,SBrkr,914,1,Detchd,2,576,NA,NA,148000
359,8,2004,1580,SBrkr,2466,3,Attchd,2,610,NA,NA,340000
360,9,2010,1856,SBrkr,1856,1,Attchd,3,834,NA,NA,394432
361,6,2000,982,SBrkr,1800,2,Attchd,2,463,NA,NA,179000
362,5,1924,1026,SBrkr,1691,2,Detchd,1,308,NA,NA,127000
363,7,2006,1293,SBrkr,1301,2,Attchd,2,572,NA,NA,187750
364,7,2006,939,SBrkr,1797,2,Attchd,2,639,NA,NA,213500
365,6,1992,1580,SBrkr,1953,2,Attchd,2,501,NA,NA,240000
366,8,2004,1256,SBrkr,1269,2,Attchd,2,430,NA,NA,192000
367,5,1910,658,SBrkr,1184,1,NA,0,0,NA,NA,81000
368,6,1976,1041,SBrkr,1125,1,Detchd,1,352,GdWo,NA,125000
369,7,1999,1468,SBrkr,1479,2,Attchd,2,577,NA,NA,191000
370,10,2007,1682,SBrkr,2332,2,BuiltIn,3,846,NA,NA,426000
371,5,1900,861,SBrkr,1367,1,Detchd,1,384,MnPrv,NA,119000
372,6,2001,804,SBrkr,1961,2,BuiltIn,2,560,NA,NA,215000
373,4,1941,788,FuseA,788,1,NA,0,0,GdWo,NA,100000
374,5,1940,735,FuseA,1034,1,Detchd,1,240,NA,NA,109000
375,5,1956,1144,SBrkr,1144,1,Attchd,1,596,NA,NA,129000
376,5,1972,894,SBrkr,894,1,Detchd,2,600,NA,NA,123000
377,5,1962,864,SBrkr,1812,2,NA,1,264,NA,NA,169500
378,5,1920,961,Mix,1077,1,Detchd,1,338,NA,NA,67000
379,7,2006,1092,SBrkr,1550,2,Attchd,2,438,NA,NA,241000
380,8,1996,1260,SBrkr,1288,1,Attchd,2,500,NA,NA,245500
381,7,2005,1310,SBrkr,1310,2,Attchd,2,400,NA,NA,164990
382,5,1940,672,SBrkr,672,1,Detchd,1,240,GdPrv,NA,108000
383,8,1998,1141,SBrkr,2263,2,BuiltIn,2,420,NA,NA,258000
384,6,1995,806,SBrkr,1572,2,BuiltIn,2,373,NA,NA,168000
385,4,1976,1281,SBrkr,1620,2,Attchd,2,490,GdWo,NA,150000
386,6,1936,1064,FuseA,1639,1,Detchd,1,240,NA,NA,115000
387,6,1915,840,SBrkr,1680,2,Attchd,1,308,NA,NA,177000
388,7,2006,1063,SBrkr,2172,2,Attchd,3,947,NA,NA,280000
389,8,2007,1034,SBrkr,2078,2,Attchd,3,836,NA,NA,339750
390,5,1958,1276,FuseA,1276,1,Attchd,1,350,NA,NA,60000
391,5,1955,1056,SBrkr,1056,1,Attchd,2,572,NA,NA,145000
392,7,2009,1470,SBrkr,1478,2,Attchd,2,484,NA,NA,222000
393,5,1927,1008,FuseA,1028,1,Detchd,2,360,NA,NA,115000
394,7,1993,1080,SBrkr,2097,2,Attchd,3,678,NA,NA,228000
395,7,2007,1340,SBrkr,1340,2,Attchd,2,396,NA,NA,181134
396,6,1978,672,SBrkr,1400,1,Attchd,2,440,NA,NA,149500
397,6,1918,1370,FuseA,2624,2,Detchd,3,864,NA,NA,239000
398,5,1940,756,FuseF,1134,1,Detchd,1,240,NA,NA,126000
399,5,1968,1056,SBrkr,1056,1,Attchd,1,304,NA,NA,142000
400,7,1997,1344,SBrkr,1344,2,Attchd,4,784,NA,NA,206300
401,6,1977,1602,SBrkr,1602,2,Attchd,2,529,NA,NA,215000
402,5,1954,988,FuseA,988,1,Attchd,2,520,NA,NA,113000
403,8,1998,1470,SBrkr,2630,2,Attchd,3,696,NA,NA,315000
404,6,1956,1196,FuseA,1196,1,NA,1,297,NA,NA,139000
405,7,1946,651,SBrkr,1389,1,Detchd,1,240,NA,NA,135000
406,7,1989,1518,SBrkr,1644,2,Attchd,2,569,NA,NA,275000
407,4,1957,907,SBrkr,907,1,Detchd,1,352,NA,NA,109008
408,7,2007,1208,SBrkr,1208,2,Attchd,2,628,NA,NA,195400
409,6,1988,1392,SBrkr,1412,2,Attchd,2,576,NA,NA,175000
410,6,1971,483,SBrkr,987,1,Detchd,1,264,NA,NA,85400
411,6,1920,901,SBrkr,1198,1,NA,0,0,MnPrv,NA,79900
412,5,1971,765,SBrkr,1365,1,Detchd,2,440,NA,NA,122500
413,6,1997,926,SBrkr,1604,2,Attchd,2,470,NA,NA,181000
414,4,1972,630,SBrkr,630,1,NA,0,0,NA,NA,81000
415,7,1996,799,SBrkr,1661,2,Attchd,2,550,NA,NA,212000
416,6,1920,648,FuseA,1118,1,Detchd,2,440,NA,NA,116000
417,6,1926,884,SBrkr,904,1,Detchd,1,180,NA,NA,119000
418,5,1913,440,SBrkr,694,1,Detchd,1,352,MnPrv,NA,90350
419,6,1920,684,SBrkr,1196,1,Detchd,2,528,GdPrv,Shed,110000
420,10,2008,3094,SBrkr,2402,2,Attchd,3,672,NA,NA,555000
421,4,1955,1440,FuseF,1440,2,NA,0,0,NA,NA,118000
422,5,1930,1078,SBrkr,1573,2,Detchd,2,360,NA,NA,162900
423,7,2006,1258,SBrkr,1258,2,Attchd,3,648,NA,NA,172500
424,7,1994,915,SBrkr,1908,2,Attchd,2,493,NA,NA,210000
425,6,1956,1436,SBrkr,1689,1,Attchd,2,480,MnPrv,NA,127500
426,6,1966,1517,SBrkr,1888,2,Attchd,2,578,NA,NA,190000
427,7,1998,930,SBrkr,1886,2,Attchd,2,431,NA,NA,199900
428,6,1937,780,SBrkr,1376,2,Detchd,1,198,NA,NA,119500
429,3,1948,649,SBrkr,1183,1,Detchd,1,308,NA,NA,120000
430,6,1930,813,FuseA,813,1,Detchd,1,270,NA,NA,110000
431,7,1975,1533,SBrkr,1533,2,Attchd,2,576,NA,NA,280000
432,6,1996,872,SBrkr,1756,2,Attchd,2,422,NA,NA,204000
433,8,2008,768,SBrkr,1590,2,Attchd,2,676,NA,NA,210000
434,5,1976,1728,SBrkr,1728,2,Detchd,2,560,NA,NA,188000
435,7,1973,1242,SBrkr,1242,1,Attchd,2,528,NA,NA,175500
436,5,1916,624,SBrkr,1344,1,Detchd,3,513,NA,NA,98000
437,4,1954,1364,SBrkr,1663,1,Attchd,2,529,NA,NA,256000
438,8,1925,588,SBrkr,1666,1,Detchd,1,228,MnPrv,NA,161000
439,5,1950,709,SBrkr,1203,1,Detchd,1,352,NA,NA,110000
440,8,2009,832,SBrkr,1935,2,BuiltIn,2,552,NA,NA,263435
441,7,1936,560,SBrkr,1135,1,Detchd,2,576,MnPrv,NA,155000
442,5,1965,864,SBrkr,864,1,Detchd,1,360,GdWo,NA,62383
443,6,1934,715,FuseA,1660,1,Detchd,1,240,NA,NA,188700
444,5,1978,1040,SBrkr,1040,2,NA,0,0,NA,NA,124000
445,7,2004,1375,SBrkr,1414,2,Attchd,2,398,NA,NA,178740
446,7,1970,1277,SBrkr,1277,1,Attchd,2,526,GdWo,NA,167000
447,5,1942,728,SBrkr,1644,1,Attchd,1,312,NA,NA,146500
448,8,2006,1626,SBrkr,1634,2,Attchd,3,866,NA,NA,250000
449,6,1993,832,SBrkr,1710,2,Attchd,2,506,NA,NA,187000
450,8,1985,1488,SBrkr,1502,1,Attchd,2,528,NA,NA,212000
451,7,1977,808,SBrkr,1969,2,Attchd,2,534,NA,NA,190000
452,6,2005,547,SBrkr,1072,1,Basment,2,525,NA,NA,148000
453,8,2006,1976,SBrkr,1976,2,Attchd,3,908,NA,NA,440000
454,8,2000,1494,SBrkr,1652,2,Attchd,2,499,NA,NA,251000
455,5,1963,970,SBrkr,970,1,Detchd,2,624,NA,NA,132500
456,6,1997,1478,SBrkr,1493,2,Attchd,2,508,NA,NA,208900
457,9,2006,2153,SBrkr,2643,2,BuiltIn,3,694,NA,NA,380000
458,8,2007,1705,SBrkr,1718,2,Attchd,3,826,NA,NA,297000
459,4,1937,907,SBrkr,1131,1,Detchd,2,672,MnPrv,NA,89471
460,9,2004,1833,SBrkr,1850,2,Attchd,3,772,NA,NA,326000
461,9,2003,1792,SBrkr,1792,2,Attchd,3,874,NA,NA,374000
462,7,1915,910,SBrkr,1826,1,Attchd,1,164,NA,NA,155000
463,6,1998,1216,SBrkr,1216,2,Attchd,2,402,NA,NA,164000
464,5,1962,999,SBrkr,999,1,Detchd,1,264,NA,NA,132500
465,5,1950,1113,SBrkr,1113,1,Attchd,1,264,NA,NA,147000
466,5,1965,1073,SBrkr,1073,1,Attchd,2,515,NA,NA,156000
467,5,1971,1484,SBrkr,1484,2,Attchd,2,487,NA,NA,175000
468,5,1900,954,FuseA,2414,2,Attchd,2,520,NA,NA,160000
469,4,1970,630,SBrkr,630,1,NA,1,286,NA,NA,86000
470,5,1976,264,SBrkr,1304,1,BuiltIn,1,336,NA,NA,115000
471,6,1941,806,FuseA,1578,1,Attchd,1,240,MnPrv,NA,133000
472,6,2006,728,SBrkr,1456,2,Attchd,2,429,NA,NA,172785
473,5,1960,1269,FuseA,1269,1,Detchd,1,308,NA,NA,155000
474,5,1938,190,FuseA,886,1,NA,1,273,NA,NA,91300
475,4,1920,720,FuseA,720,1,NA,0,0,GdWo,NA,34900
476,8,1992,3200,SBrkr,3228,3,Attchd,2,546,NA,NA,430000
477,7,1925,1026,SBrkr,1820,2,Detchd,1,240,GdPrv,NA,184000
478,5,1967,864,SBrkr,899,1,Attchd,1,288,MnPrv,NA,130000
479,5,1958,912,SBrkr,912,1,Attchd,1,297,MnWw,Shed,120000
480,6,1973,672,SBrkr,1218,1,Detchd,1,264,NA,NA,113000
481,7,2005,866,SBrkr,1768,2,Attchd,2,603,NA,NA,226700
482,5,1965,1214,SBrkr,1214,1,Detchd,2,461,GdPrv,Shed,140000
483,7,1959,1501,SBrkr,1801,2,Attchd,2,484,GdWo,NA,289000
484,6,1974,855,SBrkr,1322,2,Attchd,2,440,NA,NA,147000
485,5,1952,960,SBrkr,1960,2,Detchd,2,400,NA,NA,124500
486,8,1993,777,SBrkr,1911,2,Attchd,2,471,NA,NA,215000
487,6,2009,1218,SBrkr,1218,2,Attchd,2,676,NA,NA,208300
488,5,1959,1041,SBrkr,1041,1,NA,1,270,MnPrv,NA,124500
489,5,1951,1008,SBrkr,1363,1,CarPort,1,288,NA,Shed,164900
490,7,2005,1368,SBrkr,1368,2,Attchd,2,474,NA,NA,202665
491,5,1958,864,SBrkr,864,1,Detchd,2,624,NA,NA,129900
492,6,1983,1084,SBrkr,1080,1,Attchd,2,484,NA,NA,134000
493,5,1926,768,SBrkr,789,1,Detchd,1,200,MnPrv,NA,96500
494,10,2009,2006,SBrkr,2020,2,Attchd,3,900,NA,NA,402861
495,6,1972,689,SBrkr,2119,2,Attchd,2,583,GdPrv,NA,158000
496,7,1996,1264,SBrkr,2344,2,Attchd,3,889,NA,NA,265000
497,7,1926,1276,SBrkr,2080,1,Detchd,1,282,MnPrv,NA,234000
498,4,1900,0,FuseA,1294,2,NA,0,0,NA,NA,106250
499,6,1957,1244,FuseA,1244,1,Attchd,1,336,NA,NA,150000
500,6,1947,1004,SBrkr,1664,2,Detchd,2,420,NA,NA,159000
501,10,2007,3138,SBrkr,4676,3,BuiltIn,3,884,NA,NA,184750
502,7,1996,1379,SBrkr,2398,2,Attchd,3,834,NA,NA,315750
503,7,2005,1257,SBrkr,1266,2,Attchd,2,453,NA,NA,176000
504,5,1956,928,SBrkr,928,1,NA,1,252,NA,NA,132000
505,9,2008,1452,SBrkr,2713,2,Attchd,3,858,NA,NA,446261
506,4,1920,528,SBrkr,605,1,NA,0,0,NA,NA,86000
507,6,1957,2035,SBrkr,2515,3,Attchd,2,484,NA,NA,200624
508,6,1988,1461,SBrkr,1509,2,Attchd,2,600,NA,NA,175000
509,6,1920,611,SBrkr,1362,2,Detchd,2,502,NA,NA,128000
510,5,1955,0,SBrkr,827,1,Detchd,1,392,NA,NA,107500
511,1,1946,0,FuseF,334,1,NA,0,0,NA,NA,39300
512,8,2004,707,SBrkr,1414,2,Attchd,2,403,NA,NA,178000
513,5,1910,1117,SBrkr,1347,1,NA,0,0,NA,NA,107500
514,7,1998,880,SBrkr,1724,2,Attchd,2,527,NA,NA,188000
515,4,1972,864,SBrkr,864,1,Detchd,2,576,MnWw,NA,111250
516,5,1968,1051,SBrkr,1159,1,Attchd,1,336,NA,NA,158000
517,8,2001,1581,SBrkr,1601,2,Attchd,2,670,MnPrv,Shed,272000
518,9,2006,1838,SBrkr,1838,2,Attchd,3,765,NA,NA,315000
519,8,2000,969,SBrkr,2285,2,BuiltIn,3,648,NA,NA,248000
520,7,1998,1650,SBrkr,1680,2,Attchd,2,583,NA,NA,213250
521,7,1998,723,SBrkr,767,1,NA,1,367,NA,NA,133000
522,7,2006,654,SBrkr,1496,2,Attchd,2,426,NA,NA,179665
523,7,1988,1204,SBrkr,2183,2,Attchd,3,786,NA,NA,229000
524,6,1923,1065,FuseA,1635,1,Detchd,2,440,NA,NA,210000
525,5,1970,768,SBrkr,768,1,Detchd,2,624,NA,NA,129500
526,5,1955,825,SBrkr,825,1,Detchd,2,720,MnPrv,NA,125000
527,7,2003,912,SBrkr,2094,2,BuiltIn,2,615,NA,NA,263000
528,6,1977,1069,SBrkr,1069,2,Attchd,2,440,NA,NA,140000
529,5,1957,928,FuseA,928,1,Attchd,1,288,NA,NA,112500
530,8,2006,1709,SBrkr,1717,2,Attchd,3,908,NA,NA,255500
531,4,1949,0,SBrkr,1126,2,Detchd,2,520,MnPrv,NA,108000
532,7,2003,998,SBrkr,2046,2,BuiltIn,3,871,NA,NA,284000
533,5,1922,993,FuseA,1048,1,Detchd,1,280,NA,NA,113000
534,5,1957,1092,FuseA,1092,1,Attchd,1,299,MnWw,NA,141000
535,4,1920,637,SBrkr,1336,1,CarPort,1,570,NA,NA,108000
536,7,1996,729,SBrkr,1446,2,Attchd,2,406,NA,NA,175000
537,7,2003,1374,SBrkr,1557,2,Attchd,2,420,NA,NA,234000
538,5,1957,1392,SBrkr,1392,1,Detchd,2,528,NA,NA,121500
539,5,1974,1389,SBrkr,1389,1,Attchd,2,418,NA,NA,170000
540,5,1940,996,SBrkr,996,1,NA,0,0,NA,NA,108000
541,6,1918,1163,SBrkr,1674,2,Detchd,2,396,NA,NA,185000
542,7,1992,1095,SBrkr,2295,2,Attchd,2,590,NA,NA,268000
543,6,1915,806,FuseF,1647,1,Detchd,1,216,NA,NA,128000
544,9,2005,1122,SBrkr,2504,2,BuiltIn,3,656,NA,NA,325000
545,7,2004,1517,SBrkr,1535,2,Attchd,2,532,NA,NA,214000
546,8,1983,1496,SBrkr,2132,1,BuiltIn,2,612,NA,NA,316600
547,5,1979,943,SBrkr,943,1,Detchd,2,600,NA,NA,135960
548,5,1965,1728,SBrkr,1728,2,Detchd,2,576,NA,NA,142600
549,6,1959,864,SBrkr,864,1,NA,1,288,NA,NA,120000
550,7,2009,846,SBrkr,1692,2,Attchd,2,650,NA,NA,224500
551,7,2000,384,SBrkr,1430,2,BuiltIn,2,400,NA,NA,170000
552,5,1971,372,SBrkr,1109,1,BuiltIn,1,288,GdWo,NA,139000
553,5,1947,832,SBrkr,1216,1,Detchd,1,336,NA,NA,118500
554,7,1928,861,SBrkr,1477,2,Detchd,1,216,NA,NA,145000
555,5,1966,1164,SBrkr,1320,1,Attchd,2,564,NA,NA,164500
556,7,2007,689,SBrkr,1392,2,Detchd,2,540,NA,NA,146000
557,5,1954,1050,FuseF,1795,2,NA,1,352,NA,NA,131500
558,6,1960,1144,SBrkr,1429,1,Attchd,2,572,NA,NA,181900
559,8,2008,2042,SBrkr,2042,2,Attchd,3,1390,NA,NA,253293
560,6,1990,816,SBrkr,816,1,NA,0,0,NA,NA,118500
561,4,1935,884,SBrkr,1573,1,Detchd,1,240,NA,NA,133000
562,8,2005,1868,SBrkr,2028,2,Attchd,3,880,NA,NA,369900
563,6,1918,816,SBrkr,838,1,Detchd,1,275,MnWw,NA,130000
564,5,1982,840,SBrkr,860,1,Detchd,2,528,NA,NA,137000
565,5,1968,1437,SBrkr,1473,1,Attchd,1,452,NA,NA,143000
566,5,1930,742,FuseA,935,1,Detchd,1,308,NA,Shed,79500
567,7,2004,770,SBrkr,1582,2,Attchd,2,520,NA,NA,185900
568,10,2008,1722,SBrkr,2296,2,BuiltIn,3,842,NA,NA,451950
569,5,1982,816,SBrkr,816,1,Detchd,2,816,NA,NA,138000
570,6,2003,848,SBrkr,848,1,Attchd,2,420,NA,NA,140000
571,8,2005,1814,SBrkr,1826,2,Attchd,3,758,NA,NA,319000
572,6,1910,684,FuseA,1368,1,Detchd,1,216,NA,NA,114504
573,7,2006,1258,SBrkr,1402,0,Attchd,3,648,NA,NA,194201
574,5,1977,1430,SBrkr,1647,2,Attchd,2,621,NA,NA,217500
575,6,1980,716,SBrkr,1556,2,Attchd,2,452,GdPrv,NA,151000
576,8,2005,1058,SBrkr,1904,2,BuiltIn,2,736,NA,NA,275000
577,6,1937,780,SBrkr,1375,1,Detchd,1,544,NA,NA,141000
578,8,1992,908,SBrkr,1915,2,Attchd,2,506,NA,NA,220000
579,7,2004,600,SBrkr,1200,2,Detchd,2,480,NA,NA,151000
580,7,2002,1494,SBrkr,1494,2,Attchd,2,530,NA,NA,221000
581,7,1965,768,SBrkr,1986,2,Attchd,2,486,NA,NA,205000
582,5,1996,1040,SBrkr,1040,1,Detchd,2,576,GdPrv,NA,152000
583,5,1948,896,SBrkr,2008,3,NA,1,230,NA,NA,225000
584,8,1934,965,SBrkr,3194,2,Basment,2,380,NA,NA,359100
585,4,1961,1029,SBrkr,1029,1,Attchd,1,261,NA,NA,118500
586,9,2000,1440,SBrkr,2153,2,Attchd,3,736,NA,NA,313000
587,6,1978,1032,SBrkr,1032,2,Attchd,2,564,MnPrv,Shed,148000
588,8,2001,1299,SBrkr,1872,2,BuiltIn,2,531,NA,NA,261500
589,5,2007,1120,SBrkr,1120,1,NA,0,0,NA,NA,147000
590,4,1972,630,SBrkr,630,1,NA,0,0,NA,NA,75500
591,6,1963,936,SBrkr,1054,1,Attchd,2,480,MnPrv,NA,137500
592,6,2002,783,SBrkr,1509,2,Attchd,2,393,NA,NA,183200
593,6,1954,832,SBrkr,832,1,Detchd,2,528,NA,NA,105500
594,9,2007,1822,SBrkr,1828,2,Attchd,3,774,NA,NA,314813
595,8,2003,1482,SBrkr,2262,2,Attchd,3,749,NA,NA,305000
596,3,1914,864,FuseF,864,1,NA,0,0,NA,NA,67000
597,6,1974,1522,SBrkr,2614,2,Attchd,2,624,NA,NA,240000
598,5,1977,980,SBrkr,980,1,Detchd,2,484,NA,NA,135000
599,6,2000,756,SBrkr,1512,2,Detchd,2,440,NA,NA,168500
600,6,1972,732,SBrkr,1790,1,Attchd,2,484,NA,NA,165150
601,6,1962,1116,SBrkr,1116,1,Attchd,2,440,NA,NA,160000
602,5,1960,978,SBrkr,1422,1,NA,1,286,GdWo,Shed,139900
603,6,1955,1156,SBrkr,1520,1,Basment,1,364,NA,NA,153000
604,5,1969,1040,SBrkr,2080,1,Attchd,2,504,NA,NA,135000
605,6,1964,1248,SBrkr,1350,1,Attchd,2,520,GdPrv,NA,168500
606,5,1880,636,FuseA,1750,1,Detchd,1,240,MnPrv,NA,124000
607,8,2006,1554,SBrkr,1554,2,Attchd,2,627,NA,NA,209500
608,7,1977,1386,SBrkr,1411,2,Attchd,2,544,NA,NA,82500
609,5,1954,1056,SBrkr,1056,1,Attchd,1,260,NA,NA,139400
610,6,1980,1056,SBrkr,1056,0,Detchd,2,576,GdPrv,Shed,144000
611,6,1914,1440,FuseA,3395,2,NA,0,0,NA,NA,200000
612,2,1936,264,FuseA,800,1,NA,0,0,NA,NA,60000
613,5,1954,811,FuseA,1387,2,BuiltIn,1,256,NA,NA,93000
614,5,1910,796,FuseA,796,1,NA,0,0,MnPrv,NA,85000
615,8,2006,1520,SBrkr,1567,2,Attchd,3,648,NA,NA,264561
616,8,2003,1518,SBrkr,1518,1,Attchd,2,588,NA,NA,274000
617,7,2001,1057,SBrkr,1929,2,Attchd,2,650,NA,NA,226000
618,8,1972,1952,SBrkr,2704,2,Attchd,2,538,MnPrv,NA,345000
619,5,1969,780,SBrkr,1620,2,Attchd,2,462,GdWo,NA,152000
620,9,2009,1766,SBrkr,1766,2,Attchd,3,478,NA,NA,370878
621,6,1971,981,SBrkr,981,1,Detchd,2,576,NA,NA,143250
622,5,1950,0,SBrkr,1048,1,Detchd,2,420,NA,NA,98300
623,6,1953,1094,SBrkr,1094,1,Attchd,2,495,NA,NA,155000
624,6,1966,756,SBrkr,1839,1,Attchd,2,442,NA,NA,155000
625,4,1970,630,SBrkr,630,1,NA,0,0,MnPrv,NA,84500
626,7,2007,813,SBrkr,1665,2,Attchd,2,562,NA,NA,205950
627,4,1940,755,SBrkr,1510,1,Detchd,1,296,MnPrv,NA,108000
628,7,1996,880,SBrkr,1716,2,Attchd,2,512,NA,NA,191000
629,6,1906,756,SBrkr,1469,1,Detchd,1,216,MnPrv,NA,135000
630,8,1995,2109,SBrkr,2113,2,Attchd,3,839,NA,NA,350000
631,6,1971,525,SBrkr,1092,1,Detchd,1,264,NA,NA,88000
632,5,1959,1053,SBrkr,1053,1,Attchd,1,312,MnPrv,NA,145500
633,7,1931,776,SBrkr,1502,1,NA,1,270,MnPrv,NA,149000
634,6,1948,912,SBrkr,1458,1,Attchd,1,330,NA,NA,97500
635,7,1976,793,SBrkr,1935,2,Attchd,2,550,NA,NA,197900
636,8,1994,1629,SBrkr,2448,2,Attchd,3,711,NA,NA,402000
637,6,1968,1392,SBrkr,1392,1,Attchd,2,576,NA,NA,110000
638,4,1972,1138,SBrkr,1181,2,Detchd,2,588,MnPrv,NA,137500
639,8,2005,2077,SBrkr,2097,1,Attchd,3,1134,NA,NA,423000
640,8,2000,1406,SBrkr,1936,2,Attchd,2,504,NA,NA,230500
641,6,1965,1021,SBrkr,2380,2,CarPort,2,596,NA,NA,129000
642,6,1994,1408,SBrkr,1679,2,Attchd,2,575,NA,NA,193500
643,5,1956,1188,SBrkr,1437,1,Detchd,2,576,NA,NA,168000
644,4,1922,700,SBrkr,1180,1,Detchd,1,252,NA,NA,137500
645,6,2005,738,SBrkr,1476,2,Attchd,2,540,NA,NA,173500
646,6,1925,672,SBrkr,1369,2,Detchd,1,300,NA,NA,103600
647,6,1977,1208,SBrkr,1208,1,Attchd,2,546,NA,NA,165000
648,6,1957,1477,SBrkr,1839,2,Attchd,2,416,NA,NA,257500
649,6,1965,1136,SBrkr,1136,1,Attchd,1,384,NA,NA,140000
650,6,1978,855,SBrkr,1441,2,Attchd,2,440,NA,NA,148500
651,4,1900,1095,SBrkr,1774,2,2Types,3,779,NA,NA,87000
652,5,1924,768,SBrkr,792,1,Detchd,1,240,NA,NA,109500
653,8,2008,2046,SBrkr,2046,2,Attchd,3,834,NA,NA,372500
654,5,1961,988,SBrkr,988,1,Detchd,2,572,NA,NA,128500
655,6,1980,923,SBrkr,923,2,NA,1,264,NA,NA,143000
656,5,1932,793,SBrkr,1520,1,Detchd,1,281,NA,NA,159434
657,6,1996,1291,SBrkr,1291,1,Attchd,2,431,NA,NA,173000
658,9,2002,1626,SBrkr,1668,2,Attchd,3,702,NA,NA,285000
659,7,1998,1195,SBrkr,1839,2,Attchd,2,486,NA,NA,221000
660,7,1984,1190,SBrkr,2090,2,Attchd,2,577,NA,NA,207500
661,7,2007,874,SBrkr,1761,3,Attchd,2,578,NA,NA,227875
662,7,2004,551,SBrkr,1102,2,Detchd,2,480,NA,NA,148800
663,8,2007,1419,SBrkr,1419,2,Attchd,2,567,NA,NA,392000
664,6,2005,1362,SBrkr,1362,2,Attchd,2,460,NA,NA,194700
665,6,2004,848,SBrkr,848,1,Attchd,2,420,NA,NA,141000
666,10,1994,2444,SBrkr,4316,3,Attchd,3,832,NA,NA,755000
667,7,1989,1210,SBrkr,2519,2,Attchd,2,628,NA,NA,335000
668,5,1921,1073,SBrkr,1073,1,Detchd,1,326,NA,NA,108480
669,5,1936,927,SBrkr,1539,1,Detchd,2,576,MnPrv,NA,141500
670,6,1987,1112,SBrkr,1137,2,Attchd,2,551,NA,NA,176000
671,5,1921,616,SBrkr,616,1,Detchd,1,205,NA,NA,89000
672,5,1952,980,FuseA,1148,1,Detchd,1,308,NA,NA,123500
673,5,1965,894,SBrkr,894,1,Detchd,1,336,MnPrv,NA,138500
674,7,2004,1391,SBrkr,1391,2,Attchd,2,530,NA,NA,196000
675,8,2002,1800,SBrkr,1800,2,Attchd,3,765,NA,NA,312500
676,7,1969,1164,SBrkr,1164,1,Attchd,2,528,NA,NA,140000
677,8,2006,1234,SBrkr,2576,2,BuiltIn,3,666,NA,NA,361919
678,5,1900,360,SBrkr,1812,2,Detchd,2,672,MnPrv,NA,140000
679,7,2004,1473,SBrkr,1484,2,Attchd,2,606,NA,NA,213000
680,4,1930,0,SBrkr,1092,2,NA,0,0,NA,Othr,55000
681,7,1971,1643,SBrkr,1824,2,Attchd,2,739,NA,NA,302000
682,8,2006,1324,SBrkr,1324,2,Attchd,2,550,NA,NA,254000
683,7,2007,728,SBrkr,1456,2,Attchd,2,400,NA,NA,179540
684,5,1966,876,SBrkr,904,1,Detchd,1,408,MnPrv,NA,109900
685,3,1935,270,SBrkr,729,1,NA,0,0,NA,NA,52000
686,4,1900,859,SBrkr,1178,1,Detchd,1,384,NA,NA,102776
687,8,1988,1228,SBrkr,1228,2,Attchd,2,472,NA,NA,189000
688,4,1970,960,SBrkr,960,1,Detchd,2,576,NA,NA,129000
689,6,1976,725,SBrkr,1479,2,Attchd,2,475,NA,NA,130500
690,6,1974,1064,SBrkr,1350,2,Attchd,2,478,MnPrv,NA,165000
691,7,1890,718,SBrkr,2554,1,Detchd,2,704,NA,NA,159500
692,5,1973,1176,SBrkr,1178,1,Attchd,2,439,MnPrv,NA,157000
693,7,1993,1311,SBrkr,2418,2,Attchd,3,983,NA,NA,341000
694,5,1969,971,SBrkr,971,1,Attchd,1,300,NA,NA,128500
695,8,1985,1742,SBrkr,1742,2,Attchd,2,564,NA,NA,275000
696,6,2004,848,SBrkr,848,1,Attchd,2,420,NA,NA,143000
697,4,1970,864,SBrkr,864,1,Detchd,2,463,NA,NA,124500
698,4,1954,941,SBrkr,1470,2,Detchd,1,548,NA,NA,135000
699,9,2007,1698,SBrkr,1698,2,Attchd,3,768,NA,NA,320000
700,4,1970,864,SBrkr,864,1,Detchd,2,660,NA,Shed,120500
701,6,1988,880,SBrkr,1680,2,Attchd,2,540,NA,NA,222000
702,7,2007,1232,SBrkr,1232,2,Attchd,2,632,NA,NA,194500
703,5,1958,1584,SBrkr,1776,2,Detchd,3,888,NA,NA,110000
704,8,1995,1595,SBrkr,1616,2,Attchd,2,608,NA,NA,236500
705,7,2003,868,SBrkr,1146,2,Attchd,2,438,NA,NA,187500
706,7,1998,1153,SBrkr,2031,2,Attchd,2,541,NA,NA,222500
707,5,1961,864,SBrkr,1144,1,Attchd,1,264,GdWo,Shed,131400
708,5,1968,948,SBrkr,948,1,Detchd,1,300,NA,NA,108000
709,7,1914,880,SBrkr,1768,1,Detchd,2,320,NA,NA,163000
710,3,1950,0,FuseF,1040,2,Detchd,2,400,NA,NA,93500
711,8,2005,893,SBrkr,1801,2,Attchd,3,800,NA,NA,239900
712,5,1987,1200,SBrkr,1200,3,NA,0,0,NA,NA,179000
713,7,2004,864,SBrkr,1728,2,Attchd,2,572,NA,NA,190000
714,5,1910,264,SBrkr,1432,2,Detchd,2,360,GdPrv,NA,132000
715,6,1961,912,SBrkr,912,1,Detchd,1,288,GdPrv,NA,142000
716,7,2000,1349,SBrkr,1349,2,Attchd,2,539,GdPrv,NA,179000
717,5,1963,520,SBrkr,1464,2,Attchd,2,480,NA,NA,175000
